AppName,Mode,Timestamp,Model,BuildSuccess,TestsPass,CoveragePct,LintWarnings,MLDuration,RepairAttempts
AuthAPI,ml,2025-11-12T09:27:15+02:00,gpt-4o,false,false,0.00,0,0.06,0
PermissionAPI,ml,2025-11-12T09:27:18+02:00,gpt-4o,false,false,0.00,0,0.05,0
SchedulerAPI,ml,2025-11-12T09:27:19+02:00,gpt-4o,false,false,0.00,0,0.08,0
WorkflowAPI,ml,2025-11-12T09:27:20+02:00,gpt-4o,false,false,0.00,0,0.11,0
ApprovalAPI,ml,2025-11-12T09:27:14+02:00,gpt-4o,false,false,0.00,0,0.10,0
InventoryAPI,ml,2025-11-12T09:27:16+02:00,gpt-4o,false,false,0.00,0,0.15,0
NotificationAPI,ml,2025-11-12T09:27:16+02:00,gpt-4o,false,false,0.00,0,0.10,0
OrderAPI,ml,2025-11-12T09:27:17+02:00,gpt-4o,false,false,0.00,0,0.10,0
PaymentAPI,ml,2025-11-12T09:27:18+02:00,gpt-4o,false,false,0.00,0,0.96,0
SearchAPI,ml,2025-11-12T09:27:19+02:00,gpt-4o,false,false,0.00,0,0.07,0
