AppName,Mode,BuildSuccess,TestsPass,CoveragePct,MLDurationSec,RepairAttempts
AuctionAPI,,false,false,0.0,0.00,0
BlogAPI,,false,false,0.0,0.00,0
CarRentalAPI,,false,false,0.0,0.00,0
ClinicAPI,,false,false,0.0,0.00,0
CourseAPI,,false,false,0.0,0.00,0
EcommerceAPI,,false,false,0.0,0.00,0
FinanceAPI,,false,false,0.0,0.00,0
FitnessAPI,,false,false,0.0,0.00,0
FoodDeliveryAPI,,false,false,0.0,0.00,0
HealthAPI,,false,false,0.0,0.00,0
HotelAPI,,false,false,0.0,0.00,0
InventoryAPI,,false,false,0.0,0.00,0
LibraryAPI,,false,false,0.0,0.00,0
MovieAPI,,false,false,0.0,0.00,0
MusicAPI,,false,false,0.0,0.00,0
NewsAPI,,false,false,0.0,0.00,0
PortfolioAPI,,false,false,0.0,0.00,0
ProjectAPI,,false,false,0.0,0.00,0
RecipeAPI,,false,false,0.0,0.00,0
ResearchAPI,,false,false,0.0,0.00,0
SchoolAPI,,false,false,0.0,0.00,0
ShopAPI,,false,false,0.0,0.00,0
SocialAPI,,false,false,0.0,0.00,0
StudentAPI,,false,false,0.0,0.00,0
SurveyAPI,,false,false,0.0,0.00,0
TaskManagerAPI,,false,false,0.0,0.00,0
TicketingAPI,,false,false,0.0,0.00,0
TravelAPI,,false,false,0.0,0.00,0
VotingAPI,,false,false,0.0,0.00,0
WarehouseAPI,,false,false,0.0,0.00,0
AuctionAPI,,false,false,0.0,0.00,0
BlogAPI,,false,false,0.0,0.00,0
CarRentalAPI,,false,false,0.0,0.00,0
ClinicAPI,,false,false,0.0,0.00,0
CourseAPI,,false,false,0.0,0.00,0
EcommerceAPI,,false,false,0.0,0.00,0
FinanceAPI,,false,false,0.0,0.00,0
FitnessAPI,,false,false,0.0,0.00,0
FoodDeliveryAPI,,false,false,0.0,0.00,0
HealthAPI,,false,false,0.0,0.00,0
HotelAPI,,false,false,0.0,0.00,0
InventoryAPI,,false,false,0.0,0.00,0
LibraryAPI,,false,false,0.0,0.00,0
MovieAPI,,false,false,0.0,0.00,0
MusicAPI,,false,false,0.0,0.00,0
NewsAPI,,false,false,0.0,0.00,0
PortfolioAPI,,false,false,0.0,0.00,0
ProjectAPI,,false,false,0.0,0.00,0
RecipeAPI,,false,false,0.0,0.00,0
ResearchAPI,,false,false,0.0,0.00,0
SchoolAPI,,false,false,0.0,0.00,0
ShopAPI,,false,false,0.0,0.00,0
SocialAPI,,false,false,0.0,0.00,0
StudentAPI,,false,false,0.0,0.00,0
SurveyAPI,,false,false,0.0,0.00,0
TaskManagerAPI,,false,false,0.0,0.00,0
TicketingAPI,,false,false,0.0,0.00,0
TravelAPI,,false,false,0.0,0.00,0
VotingAPI,,false,false,0.0,0.00,0
WarehouseAPI,,false,false,0.0,0.00,0
