AppName,Mode,Timestamp,Model,BuildSuccess,TestsPass,CoveragePct,LintWarnings,MLDuration,RepairAttempts
AuctionAPI,ml,2025-10-21T20:11:45+03:00,gpt-4o-mini,false,false,0.00,0,90.43,0
LibraryAPI,ml,2025-10-21T20:37:39+03:00,gpt-4o-mini,false,false,0.00,0,143.83,0
MusicAPI,ml,2025-10-21T20:41:06+03:00,gpt-4o-mini,false,false,0.00,0,153.62,0
ProjectAPI,ml,2025-10-21T20:46:54+03:00,gpt-4o-mini,false,false,0.00,0,112.33,0
SchoolAPI,ml,2025-10-21T20:52:23+03:00,gpt-4o-mini,false,false,0.00,0,138.27,0
CarRentalAPI,ml,2025-10-21T20:16:11+03:00,gpt-4o-mini,false,false,0.00,0,130.11,0
ShopAPI,ml,2025-10-21T21:00:52+03:00,gpt-4o-mini,false,false,0.00,0,148.77,0
BlogAPI,ml,2025-10-21T20:14:00+03:00,gpt-4o-mini,false,false,0.00,0,134.18,0
InventoryAPI,ml,2025-10-21T20:35:15+03:00,gpt-4o-mini,false,false,0.00,0,138.97,0
CourseAPI,ml,2025-10-21T20:17:55+03:00,gpt-4o-mini,false,false,0.00,0,40.34,0
FinanceAPI,ml,2025-10-21T20:22:48+03:00,gpt-4o-mini,false,false,0.00,0,144.37,0
FitnessAPI,ml,2025-10-21T20:24:52+03:00,gpt-4o-mini,false,false,0.00,0,122.70,0
FoodDeliveryAPI,ml,2025-10-21T20:27:47+03:00,gpt-4o-mini,false,false,0.00,0,174.17,0
TaskManagerAPI,ml,2025-10-21T21:07:02+03:00,gpt-4o-mini,false,false,0.00,0,101.76,0
HotelAPI,ml,2025-10-21T20:32:55+03:00,gpt-4o-mini,false,false,0.00,0,166.01,0
PortfolioAPI,ml,2025-10-21T20:45:01+03:00,gpt-4o-mini,false,false,0.00,0,56.11,0
RecipeAPI,ml,2025-10-21T20:47:41+03:00,gpt-4o-mini,false,false,0.00,0,46.33,0
WarehouseAPI,ml,2025-10-21T21:14:27+03:00,gpt-4o-mini,false,false,0.00,0,57.34,0
EcommerceAPI,ml,2025-10-21T20:20:23+03:00,gpt-4o-mini,false,false,0.00,0,146.94,0
MovieAPI,ml,2025-10-21T20:38:32+03:00,gpt-4o-mini,false,false,0.00,0,51.63,0
NewsAPI,ml,2025-10-21T20:44:04+03:00,gpt-4o-mini,false,false,0.00,0,177.83,1
SocialAPI,ml,2025-10-21T21:02:01+03:00,gpt-4o-mini,false,false,0.00,0,68.18,0
SurveyAPI,ml,2025-10-21T21:05:20+03:00,gpt-4o-mini,false,false,0.00,0,54.48,0
TicketingAPI,ml,2025-10-21T21:09:44+03:00,gpt-4o-mini,false,false,0.00,0,161.49,0
ClinicAPI,ml,2025-10-21T20:17:14+03:00,gpt-4o-mini,false,false,0.00,0,63.03,0
HealthAPI,ml,2025-10-21T20:30:08+03:00,gpt-4o-mini,false,false,0.00,0,140.40,0
ResearchAPI,ml,2025-10-21T20:50:04+03:00,gpt-4o-mini,false,false,0.00,0,141.79,0
StudentAPI,ml,2025-10-21T21:04:24+03:00,gpt-4o-mini,false,false,0.00,0,142.62,0
TravelAPI,ml,2025-10-21T21:11:09+03:00,gpt-4o-mini,false,false,0.00,0,84.47,0
VotingAPI,ml,2025-10-21T21:13:29+03:00,gpt-4o-mini,false,false,0.00,0,138.85,0
