AppName,BuildSuccess,TestsPass,CoveragePct,MLDurationSec,RepairAttempts
AuctionAPI,false,true,60.0,0.00,0
BlogAPI,true,true,66.7,0.00,0
CarRentalAPI,true,true,60.0,0.00,0
ClinicAPI,true,true,53.3,0.00,0
CourseAPI,true,true,53.3,0.00,0
EcommerceAPI,false,false,0.0,0.00,0
FinanceAPI,false,true,60.0,0.00,0
FitnessAPI,true,true,60.0,0.00,0
FoodDeliveryAPI,false,false,0.0,0.00,0
HealthAPI,true,true,53.3,0.00,0
HotelAPI,true,true,60.0,0.00,0
InventoryAPI,true,true,66.7,0.00,0
LibraryAPI,true,true,35.6,0.00,0
MovieAPI,true,true,66.7,0.00,0
MusicAPI,true,true,53.3,0.00,0
NewsAPI,true,true,66.7,0.00,0
PortfolioAPI,true,true,53.3,0.00,0
ProjectAPI,true,true,53.3,0.00,0
RecipeAPI,true,true,53.3,0.00,0
ResearchAPI,false,true,60.0,0.00,0
SchoolAPI,true,true,53.3,0.00,0
ShopAPI,false,true,60.0,0.00,0
SocialAPI,true,true,60.0,0.00,0
StudentAPI,false,true,60.0,0.00,0
SurveyAPI,false,false,0.0,0.00,0
TaskManagerAPI,false,true,60.0,0.00,0
TicketingAPI,false,false,0.0,0.00,0
TravelAPI,true,true,66.7,0.00,0
VotingAPI,true,true,66.7,0.00,0
WarehouseAPI,true,true,53.3,0.00,0
