AppName,Mode,Timestamp,Model,BuildSuccess,TestsPass,CoveragePct,LintWarnings,MLDuration,RepairAttempts
BlogAPI,hybrid,2025-10-18T21:23:43+03:00,gpt-4o-mini,true,true,20.00,0,0s,0
EventAPI,hybrid,2025-10-18T21:24:08+03:00,gpt-4o-mini,true,true,0.00,0,0s,0
FitnessAPI,hybrid,2025-10-18T21:24:39+03:00,gpt-4o-mini,false,false,0.00,0,0s,0
HotelAPI,hybrid,2025-10-18T21:25:05+03:00,gpt-4o-mini,true,true,40.00,0,0s,0
InventoryAPI,hybrid,2025-10-18T21:25:23+03:00,gpt-4o-mini,false,false,0.00,0,0s,0
LibraryAPI,hybrid,2025-10-18T21:25:38+03:00,gpt-4o-mini,true,true,44.40,0,0s,0
MusicAPI,hybrid,2025-10-18T21:26:07+03:00,gpt-4o-mini,true,true,0.00,0,0s,0
RecipeAPI,hybrid,2025-10-18T21:26:22+03:00,gpt-4o-mini,false,false,0.00,0,0s,0
ShopAPI,hybrid,2025-10-18T21:26:39+03:00,gpt-4o-mini,true,true,33.30,0,0s,0
SocialAPI,hybrid,2025-10-18T21:27:03+03:00,gpt-4o-mini,false,false,0.00,0,0s,0
TaskAPI,hybrid,2025-10-18T21:27:23+03:00,gpt-4o-mini,true,true,0.00,0,0s,0
