App,Mode,Build,Tests,Coverage%,Duration(s),Lint,Vet,Cyclo,Fixes,Repairs
ApprovalAPI,hybrid,No,No,0.0,3.2,9,1,2.75,8,1
ApprovalAPI,ml,No,No,0.0,0.0,27,5,2.39,0,0
ApprovalAPI,rules,No,No,0.0,0.0,27,5,2.39,8,0
AuthAPI,hybrid,Yes,Yes,65.8,1.9,5,0,3.09,8,0
AuthAPI,ml,No,No,0.0,0.0,27,5,2.48,0,0
AuthAPI,rules,No,No,0.0,0.0,27,5,2.48,8,0
InventoryAPI,hybrid,No,No,0.0,2.3,14,3,0.00,14,1
InventoryAPI,ml,No,No,0.0,0.0,27,5,2.48,0,0
InventoryAPI,rules,No,No,0.0,0.0,27,5,2.48,8,0
NotificationAPI,hybrid,No,No,0.0,3.4,6,2,0.00,7,1
NotificationAPI,ml,No,No,0.0,0.0,12,2,2.92,0,0
NotificationAPI,rules,No,No,0.0,0.0,12,2,2.92,5,0
OrderAPI,hybrid,No,No,0.0,2.1,47,1,2.75,8,1
OrderAPI,ml,No,No,0.0,0.0,27,5,3.26,0,0
OrderAPI,rules,No,No,0.0,0.0,27,5,3.26,8,0
PaymentAPI,hybrid,No,No,0.0,2.1,7,1,2.62,4,1
PaymentAPI,ml,No,No,0.0,0.0,12,2,2.92,0,0
PaymentAPI,rules,No,No,0.0,0.0,12,2,2.92,5,0
PermissionAPI,hybrid,No,No,0.0,4.6,9,1,2.75,8,1
PermissionAPI,ml,No,No,0.0,0.0,27,5,2.48,0,0
PermissionAPI,rules,No,No,0.0,0.0,27,5,2.48,8,0
SchedulerAPI,hybrid,No,No,0.0,2.0,9,1,2.75,8,1
SchedulerAPI,ml,No,No,0.0,0.0,27,5,2.48,0,0
SchedulerAPI,rules,No,No,0.0,0.0,27,5,2.48,8,0
SearchAPI,hybrid,No,No,0.0,2.6,7,1,2.62,4,1
SearchAPI,ml,No,No,0.0,0.0,12,2,2.42,0,0
SearchAPI,rules,No,No,0.0,0.0,12,2,2.42,5,0
WorkflowAPI,hybrid,No,No,0.0,3.9,43,1,2.75,8,1
WorkflowAPI,ml,No,No,0.0,0.0,27,5,2.91,0,0
WorkflowAPI,rules,No,No,0.0,0.0,27,5,2.91,8,0
